Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,19.299999,19.350000,17.490000,17.830000,17.830000,54899100
2020-06-22,17.360001,17.650000,16.540001,17.230000,17.230000,44450700
2020-06-23,17.500000,18.040001,17.120001,18.000000,18.000000,33867700
2020-06-24,17.030001,17.280001,15.660000,16.000000,16.000000,47046000
2020-06-25,15.220000,16.240000,15.110000,16.000000,16.000000,37376700
2020-06-26,16.209999,16.350000,15.160000,15.780000,15.780000,36856000
2020-06-29,15.520000,16.799999,14.920000,16.780001,16.780001,36047600
2020-06-30,16.549999,16.709999,15.850000,16.420000,16.420000,25267600
2020-07-01,16.940001,17.830000,16.190001,16.360001,16.360001,37215100
2020-07-02,17.049999,17.170000,15.800000,15.880000,15.880000,30023300
2020-07-06,16.040001,16.219999,15.110000,15.610000,15.610000,34196900
2020-07-07,15.160000,15.400000,14.560000,14.570000,14.570000,31134800
2020-07-08,14.530000,15.480000,14.270000,15.320000,15.320000,29958600
2020-07-09,15.850000,16.000000,14.500000,14.580000,14.580000,40152000
2020-07-10,14.470000,16.270000,14.300000,16.160000,16.160000,61894100
2020-07-13,16.480000,16.700001,15.250000,15.280000,15.280000,41340500
2020-07-14,14.970000,15.180000,14.600000,15.040000,15.040000,31410700
2020-07-15,16.129999,17.559999,15.930000,17.480000,17.480000,72487600
2020-07-16,16.440001,16.620001,15.780000,15.780000,15.780000,42311000
2020-07-17,15.640000,15.990000,15.230000,15.470000,15.470000,28043600
2020-07-20,15.560000,15.950000,14.910000,15.000000,15.000000,25175200
2020-07-21,15.270000,15.480000,15.010000,15.190000,15.190000,24719200
2020-07-22,15.100000,15.340000,14.970000,15.140000,15.140000,17650100
2020-07-23,15.010000,15.380000,14.510000,14.800000,14.800000,32436100
2020-07-24,14.590000,15.350000,14.460000,14.800000,14.800000,26712200
2020-07-27,14.610000,14.630000,13.620000,13.750000,13.750000,37462900
2020-07-28,13.810000,14.590000,13.750000,14.330000,14.330000,31311300
2020-07-29,14.470000,14.700000,14.090000,14.650000,14.650000,19415000
2020-07-30,14.230000,14.520000,14.010000,14.340000,14.340000,15895300
2020-07-31,14.220000,14.350000,13.720000,13.880000,13.880000,20665800
2020-08-03,13.480000,13.540000,12.830000,13.070000,13.070000,34967500
2020-08-04,13.100000,13.990000,13.070000,13.740000,13.740000,24159800
2020-08-05,14.200000,14.270000,13.670000,14.020000,14.020000,24391100
2020-08-06,13.450000,14.020000,13.300000,13.780000,13.780000,85130200
2020-08-07,13.620000,14.320000,13.330000,14.220000,14.220000,36277700
2020-08-10,14.370000,15.470000,14.340000,15.440000,15.440000,41905600
2020-08-11,16.490000,16.520000,15.620000,15.820000,15.820000,54167600
2020-08-12,16.200001,16.230000,14.820000,15.190000,15.190000,35929900
2020-08-13,15.000000,15.750000,14.910000,15.220000,15.220000,21416100
2020-08-14,15.020000,15.720000,14.860000,15.470000,15.470000,20937100
2020-08-17,15.400000,15.440000,14.680000,14.680000,14.680000,33330600
2020-08-18,14.680000,14.910000,14.260000,14.410000,14.410000,24744600
2020-08-19,14.420000,15.170000,14.250000,14.600000,14.600000,26620300
2020-08-20,14.350000,14.720000,14.170000,14.540000,14.540000,19955400
2020-08-21,14.470000,14.930000,14.440000,14.650000,14.650000,18797400
2020-08-24,15.020000,16.209999,14.650000,16.139999,16.139999,56417200
2020-08-25,16.290001,16.389999,15.330000,15.890000,15.890000,38551500
2020-08-26,15.700000,15.780000,15.190000,15.280000,15.280000,24425200
2020-08-27,15.670000,16.680000,15.650000,16.120001,16.120001,48079400
2020-08-28,16.580000,17.340000,16.230000,17.209999,17.209999,51079100
2020-08-31,17.330000,17.340000,16.469999,16.480000,16.480000,43771700
